,cpu_percent,cpu_percent,memory_percent,memory_percent,disk_io_read_bytes,disk_io_write_bytes
,mean,max,mean,max,sum,sum
run_id,,,,,,
run_01,7.04,27.8,1.74,1.8,0,507904
run_02,72.02,100.0,13.2,16.9,36864,1353912320
run_03,71.82,100.0,13.31,16.9,16384,633671680
run_04,68.26,100.0,12.64,16.9,8192,310226944
run_05,62.35,100.0,13.78,16.9,12288,441982976
run_06,74.33,100.0,13.22,16.9,36864,1273520128
run_07,72.4,100.0,13.26,16.9,32768,1303732224
run_08,65.19,100.0,14.05,17.0,11915264,1071878144
run_09,70.34,100.0,12.99,17.0,0,469671936
run_10,72.2,100.0,13.53,17.0,0,383721472
