run_id,timestamp,cpu_percent,memory_percent,disk_io_read_bytes,disk_io_write_bytes,disk_io_read_ops,disk_io_write_ops
run_01,1750713261.5975466,0.0,1.7,0,0,0,0
run_01,1750713262.1007838,26.7,1.7,204800,0,3,0
run_01,1750713262.6033266,3.0,1.7,90112,0,1,0
run_01,1750713263.1058116,3.0,1.7,40960,0,3,0
run_01,1750713263.6080046,3.1,1.7,0,0,0,0
run_01,1750713264.1099484,3.7,1.8,0,0,0,0
run_01,1750713264.6118236,2.6,1.8,81920,0,1,0
run_01,1750713265.1137156,3.3,1.8,0,0,0,0
run_01,1750713265.6158993,3.7,1.8,0,335872,0,4
run_01,1750713266.1182044,3.2,1.8,0,0,0,0
run_01,1750713266.620175,3.6,1.8,0,0,0,0
run_01,1750713267.1229408,3.2,1.8,139264,0,3,0
run_01,1750713267.6251023,3.3,1.8,0,20480,0,1
run_01,1750713268.1274524,4.9,1.8,0,0,0,0
run_01,1750713268.6298008,23.7,2.3,0,0,0,0
run_01,1750713269.1324258,52.5,2.9,0,0,0,0
run_01,1750713269.6357133,67.3,3.5,0,0,0,0
run_01,1750713270.1593528,78.6,4.1,0,0,0,0
run_01,1750713270.688261,99.7,4.5,0,192512,0,3
run_01,1750713271.1962347,100.0,5.0,0,0,0,0
run_01,1750713271.7033932,100.0,5.5,0,0,0,0
run_01,1750713272.20498,100.0,6.0,0,0,0,0
run_01,1750713272.7082863,100.0,6.6,0,0,0,0
run_01,1750713273.2365222,100.0,7.1,0,0,0,0
run_01,1750713273.7498045,100.0,7.7,0,4096,0,1
run_01,1750713274.2649815,100.0,8.1,0,0,0,0
run_01,1750713274.7910354,100.0,8.7,0,0,0,0
run_01,1750713275.3063793,100.0,9.2,0,0,0,0
run_01,1750713275.8154724,100.0,9.6,0,0,0,0
run_01,1750713276.3318872,99.3,10.1,0,933888,0,84
run_01,1750713276.8610623,100.0,10.5,0,16384,0,2
run_01,1750713277.4059937,100.0,10.9,0,0,0,0
run_01,1750713279.4271252,82.8,11.6,0,0,0,0
run_01,1750713279.9295006,93.5,12.6,0,0,0,0
run_01,1750713280.4312823,92.7,12.9,0,0,0,0
run_01,1750713280.932892,94.6,13.3,0,0,0,0
run_01,1750713281.4348402,92.2,14.0,0,0,0,0
run_01,1750713281.936244,85.9,14.7,0,0,0,0
run_01,1750713282.4407294,77.8,15.3,0,0,0,0
run_01,1750713282.9437253,77.1,15.4,0,16384,0,2
run_01,1750713283.4467218,74.1,15.6,0,0,0,0
run_01,1750713283.9491916,72.0,15.7,0,8192,0,2
run_01,1750713284.452012,67.1,15.9,0,0,0,0
run_01,1750713284.9538748,62.9,16.1,0,0,0,0
run_01,1750713285.4556532,63.6,16.2,0,0,0,0
run_01,1750713285.9583614,64.7,16.2,0,0,0,0
run_01,1750713286.461713,54.0,16.3,0,0,0,0
run_01,1750713286.9650111,50.5,16.0,0,0,0,0
run_01,1750713287.4684458,49.1,16.3,0,0,0,0
run_01,1750713287.9711888,40.8,16.9,0,0,0,0
run_01,1750713288.4734259,33.7,16.9,0,20480,0,2
run_01,1750713288.9753094,13.5,17.1,0,0,0,0
run_01,1750713289.479159,39.0,17.1,0,0,0,0
run_01,1750713289.9824665,99.6,17.1,0,8192,0,2
run_01,1750713290.4847958,100.0,17.1,0,0,0,0
run_01,1750713290.9868033,100.0,17.1,0,0,0,0
run_01,1750713291.4887867,100.0,17.1,0,0,0,0
run_01,1750713291.9902575,100.0,17.1,0,0,0,0
run_01,1750713292.491765,100.0,17.1,0,0,0,0
run_01,1750713292.9932048,100.0,16.7,0,0,0,0
run_01,1750713293.4945676,23.7,16.7,0,12288,0,2
run_01,1750713293.9955986,26.3,16.8,0,0,0,0
run_01,1750713294.497124,17.4,16.8,0,0,0,0
run_01,1750713294.9991798,35.6,16.8,0,0,0,0
run_01,1750713295.5019252,55.4,16.8,0,3821568,0,33
run_01,1750713296.005413,98.4,16.8,0,29130752,0,273
run_01,1750713296.5076072,100.0,16.8,106496,0,2,0
run_01,1750713297.009445,100.0,16.8,0,0,0,0
run_01,1750713297.5114076,100.0,16.8,0,0,0,0
run_01,1750713298.0131917,100.0,16.8,0,0,0,0
run_01,1750713298.5149071,100.0,16.8,0,0,0,0
run_01,1750713299.0166893,100.0,16.8,0,1482752,0,13
run_01,1750713299.5185566,100.0,16.8,0,0,0,0
run_01,1750713300.0202808,100.0,16.8,0,0,0,0
run_01,1750713300.5222218,100.0,16.8,0,0,0,0
run_01,1750713301.0240662,100.0,16.8,0,0,0,0
run_01,1750713301.5268905,100.0,16.8,69632,0,2,0
run_01,1750713302.0292034,100.0,16.8,0,0,0,0
run_01,1750713302.5314314,100.0,16.8,0,0,0,0
run_01,1750713303.033537,100.0,16.8,16384,0,2,0
run_01,1750713303.535921,99.9,16.8,131072,0,2,0
run_01,1750713304.0376663,99.9,16.8,0,1777664,0,15
run_01,1750713304.5393522,100.0,16.8,0,0,0,0
run_01,1750713305.0413983,100.0,16.8,4096,0,1,0
run_01,1750713305.543353,100.0,16.8,0,0,0,0
run_01,1750713306.0450923,100.0,16.8,0,0,0,0
run_01,1750713306.5470316,100.0,16.8,0,0,0,0
run_01,1750713307.0487545,100.0,16.8,0,0,0,0
run_01,1750713307.5504272,100.0,16.8,94208,3080192,2,95
run_01,1750713308.0522938,100.0,16.8,0,0,0,0
run_01,1750713308.5539804,100.0,16.8,61440,0,2,0
run_01,1750713309.0557723,100.0,16.8,0,1957888,0,16
run_01,1750713309.557657,100.0,16.8,0,0,0,0
run_01,1750713310.059384,100.0,16.8,0,0,0,0
run_01,1750713310.5611537,100.0,16.8,0,0,0,0
run_01,1750713311.062925,100.0,16.8,90112,0,2,0
run_01,1750713311.5647616,100.0,16.8,0,0,0,0
run_01,1750713312.0663967,100.0,16.8,0,0,0,0
run_01,1750713312.5682187,99.9,16.8,135168,0,2,0
run_01,1750713313.069943,100.0,16.8,0,0,0,0
run_01,1750713313.5742123,100.0,16.8,90112,0,2,0
run_01,1750713314.0759625,100.0,16.8,0,2002944,0,17
run_01,1750713314.5776675,98.8,16.8,94208,0,2,0
run_01,1750713315.0796711,100.0,16.8,0,0,0,0
run_01,1750713315.5813558,100.0,16.8,0,0,0,0
run_01,1750713316.0832663,100.0,16.8,0,32907264,0,329
run_01,1750713316.5852015,100.0,16.8,114688,0,2,0
run_01,1750713317.0871043,100.0,16.8,0,0,0,0
run_01,1750713317.5892456,100.0,16.8,0,0,0,0
run_01,1750713318.0909066,100.0,16.8,0,0,0,0
run_01,1750713318.592956,100.0,16.8,0,0,0,0
run_01,1750713319.0947564,100.0,16.8,0,2019328,0,17
run_01,1750713319.5964704,75.9,16.8,0,0,0,0
run_01,1750713320.097931,86.6,16.8,0,0,0,0
run_01,1750713320.6029325,99.0,16.8,114688,0,3,0
run_01,1750713321.1135087,64.1,16.8,90112,17444864,6,169
run_01,1750713321.6147008,5.9,16.8,118784,343568384,3,3330
run_01,1750713322.1158016,3.9,16.8,4096,231272448,1,2254
run_01,1750713322.6180053,83.7,16.8,36864,134094848,3,1298
run_01,1750713323.1209552,100.0,16.8,8192,70967296,2,690
run_01,1750713323.6234384,99.9,16.8,4096,133681152,1,1292
run_01,1750713324.1254978,38.2,16.8,8192,237481984,2,2293
run_01,1750713324.627447,5.1,13.1,8192,286408704,2,2770
run_01,1750713325.1302922,6.1,9.6,4096,196210688,1,1900
run_01,1750713325.6329045,8.1,6.4,4096,153280512,1,1486
run_01,1750713326.13744,7.0,3.7,8192,168734720,2,1634
run_01,1750713326.6425622,5.5,2.4,0,26980352,0,259
run_01,1750713327.149777,5.2,1.9,0,225280,0,2
run_01,1750713327.654701,5.5,1.8,0,73768960,0,714
run_01,1750713328.1600356,6.3,1.8,4096,165064704,1,1601
run_02,1750713348.9128537,0.9,1.7,0,0,0,0
run_02,1750713349.4147458,26.7,1.7,0,0,0,0
run_02,1750713349.9168153,3.2,1.7,0,12288,0,2
run_02,1750713350.4191358,3.7,1.7,0,0,0,0
run_02,1750713350.9219,4.2,1.7,0,0,0,0
run_02,1750713351.4252565,4.1,1.7,0,0,0,0
run_02,1750713351.9287264,4.3,1.8,0,0,0,0
run_02,1750713352.430911,5.1,1.8,0,0,0,0
run_02,1750713352.9354818,3.6,1.8,0,0,0,0
run_02,1750713353.4391193,4.8,1.8,0,0,0,0
run_02,1750713353.9848065,5.3,1.8,0,0,0,0
run_02,1750713354.4897966,4.7,1.8,0,40960,0,2
run_02,1750713354.995588,4.5,1.8,0,0,0,0
run_02,1750713355.4996583,4.1,1.8,0,0,0,0
run_02,1750713356.004114,5.4,1.8,0,0,0,0
run_02,1750713356.5089328,3.9,1.8,0,0,0,0
run_02,1750713357.0112164,4.7,1.8,0,0,0,0
run_02,1750713357.5144138,3.8,1.8,0,0,0,0
run_02,1750713358.016255,4.3,1.8,0,0,0,0
run_02,1750713358.520939,4.6,1.8,0,0,0,0
run_02,1750713359.025472,5.6,1.8,0,0,0,0
run_02,1750713359.5276647,11.6,1.9,0,0,0,0
run_02,1750713360.1418617,23.7,2.0,0,0,0,0
run_02,1750713360.6474178,31.2,2.2,0,126976,0,12
run_02,1750713361.1510947,37.0,3.5,0,0,0,0
run_02,1750713361.6591067,81.3,4.2,0,0,0,0
run_02,1750713362.1661572,97.9,5.1,0,0,0,0
run_02,1750713362.6684225,99.0,6.0,0,0,0,0
run_02,1750713363.1817124,99.2,7.1,0,0,0,0
run_02,1750713363.6857665,99.1,7.9,0,0,0,0
run_02,1750713364.2001398,98.7,9.0,0,0,0,0
run_02,1750713364.711165,98.9,10.2,0,32768,0,2
run_02,1750713365.2485504,98.7,11.6,0,0,0,0
run_02,1750713365.7507758,99.3,12.9,0,61440,0,15
run_02,1750713366.259454,98.3,14.3,0,0,0,0
run_02,1750713366.7622342,84.8,15.5,0,0,0,0
run_02,1750713367.2646837,42.4,16.6,0,0,0,0
run_02,1750713367.7660108,56.3,16.7,0,0,0,0
run_02,1750713368.267534,100.0,16.7,0,0,0,0
run_02,1750713368.7691445,100.0,16.7,0,0,0,0
run_02,1750713369.2706225,100.0,16.7,0,0,0,0
run_02,1750713369.7721565,100.0,16.7,0,0,0,0
run_02,1750713370.2736173,100.0,16.7,0,0,0,0
run_02,1750713370.7751107,100.0,16.7,0,12288,0,2
run_02,1750713371.2766223,29.3,16.7,0,0,0,0
run_02,1750713371.777963,19.0,16.8,0,0,0,0
run_02,1750713372.2801616,17.6,16.8,0,0,0,0
run_02,1750713372.782298,42.1,16.8,0,0,0,0
run_02,1750713373.284539,74.6,16.8,0,0,0,0
run_02,1750713373.7868214,100.0,16.8,0,0,0,0
run_02,1750713374.2890203,100.0,16.8,0,0,0,0
run_02,1750713374.790683,100.0,16.8,0,0,0,0
run_02,1750713375.292701,100.0,16.8,0,0,0,0
run_02,1750713375.7945654,100.0,16.8,0,1015808,0,9
run_02,1750713376.2961197,99.9,16.8,0,41607168,0,399
run_02,1750713376.7976575,100.0,16.8,0,0,0,0
run_02,1750713377.299209,100.0,16.8,0,0,0,0
run_02,1750713377.8007758,100.0,16.8,0,0,0,0
run_02,1750713378.3024893,100.0,16.8,0,0,0,0
run_02,1750713378.8041298,100.0,16.8,0,0,0,0
run_02,1750713379.3068023,100.0,16.8,0,0,0,0
run_02,1750713379.8082917,100.0,16.8,0,0,0,0
run_02,1750713380.309839,100.0,16.8,0,0,0,0
run_02,1750713380.8113682,99.9,16.8,0,2301952,0,19
run_02,1750713381.3129144,99.9,16.8,4096,157630464,1,1525
run_02,1750713381.8143423,99.9,16.8,4096,139243520,1,1421
run_02,1750713382.3158023,100.0,16.8,0,0,0,0
run_02,1750713382.8173642,100.0,16.8,0,0,0,0
run_02,1750713383.3189683,100.0,16.8,0,0,0,0
run_02,1750713383.8206358,100.0,16.8,0,0,0,0
run_02,1750713384.3223908,100.0,16.8,0,0,0,0
run_02,1750713384.8239877,100.0,16.8,0,0,0,0
run_02,1750713385.3256674,100.0,16.8,0,0,0,0
run_02,1750713385.8273296,100.0,16.8,0,2621440,0,21
run_02,1750713386.3289452,100.0,16.8,0,0,0,0
run_02,1750713386.8304756,100.0,16.8,0,0,0,0
run_02,1750713387.332326,100.0,16.8,0,0,0,0
run_02,1750713387.83395,100.0,16.8,0,0,0,0
run_02,1750713388.3354857,100.0,16.8,0,0,0,0
run_02,1750713388.8370352,100.0,16.8,0,0,0,0
run_02,1750713389.3387582,100.0,16.8,0,0,0,0
run_02,1750713389.8404033,100.0,16.8,0,0,0,0
run_02,1750713390.3422134,100.0,16.8,0,0,0,0
run_02,1750713390.843804,100.0,16.8,0,2052096,0,17
run_02,1750713391.3455126,100.0,16.8,0,0,0,0
run_02,1750713391.8473384,100.0,16.8,0,0,0,0
run_02,1750713392.349875,100.0,16.8,0,0,0,0
run_02,1750713392.855062,100.0,16.8,0,0,0,0
run_02,1750713393.3568199,100.0,16.8,0,0,0,0
run_02,1750713393.858294,100.0,16.8,0,0,0,0
run_02,1750713394.3598225,100.0,16.8,0,0,0,0
run_02,1750713394.8614519,100.0,16.8,0,0,0,0
run_02,1750713395.3629444,100.0,16.8,0,0,0,0
run_02,1750713395.8647954,85.3,16.8,0,2060288,0,17
run_02,1750713396.3802838,99.8,16.8,0,0,0,0
run_02,1750713396.897478,81.1,16.8,0,0,0,0
run_02,1750713397.400983,5.7,16.8,0,0,0,0
run_02,1750713397.9021516,1.6,16.8,0,0,0,0
run_02,1750713398.4040258,64.5,16.8,0,2273280,0,22
run_02,1750713398.906945,99.7,16.8,0,0,0,0
run_02,1750713399.410797,100.0,16.8,0,0,0,0
run_02,1750713399.912014,10.8,16.8,0,0,0,0
run_02,1750713400.4134686,3.6,14.3,0,0,0,0
run_02,1750713400.9156256,4.3,11.2,0,593920,0,6
run_02,1750713401.41783,3.6,7.7,0,0,0,0
run_02,1750713401.9199076,3.6,4.2,0,0,0,0
run_02,1750713402.4221132,3.8,1.9,0,0,0,0
run_02,1750713402.9242666,3.0,1.8,0,466944,0,5
run_03,1750713423.8609548,0.8,1.7,0,0,0,0
run_03,1750713424.3632503,26.4,1.7,0,0,0,0
run_03,1750713424.8651853,3.5,1.7,0,0,0,0
run_03,1750713425.3671007,3.2,1.7,0,4096,0,1
run_03,1750713425.8691726,4.2,1.8,0,0,0,0
run_03,1750713426.3719628,3.9,1.8,0,0,0,0
run_03,1750713426.8741202,3.4,1.8,0,0,0,0
run_03,1750713427.376419,3.5,1.8,0,61440,0,2
run_03,1750713427.8790038,3.4,1.8,0,0,0,0
run_03,1750713428.3810232,3.9,1.8,0,0,0,0
run_03,1750713428.883251,3.6,1.8,0,0,0,0
run_03,1750713429.38566,3.3,1.8,0,0,0,0
run_03,1750713429.887748,3.4,1.8,0,0,0,0
run_03,1750713430.3902857,3.0,1.8,0,0,0,0
run_03,1750713430.8921218,4.4,1.8,0,69632,0,13
run_03,1750713431.395291,22.1,2.1,0,0,0,0
run_03,1750713431.8988469,37.8,2.2,0,0,0,0
run_03,1750713432.4016976,35.6,2.9,0,57344,0,2
run_03,1750713432.919073,77.1,4.5,0,0,0,0
run_03,1750713433.4233098,98.9,5.6,0,0,0,0
run_03,1750713433.9362853,99.4,6.8,0,0,0,0
run_03,1750713434.4407268,99.5,8.0,0,0,0,0
run_03,1750713434.9466069,99.4,9.2,0,0,0,0
run_03,1750713435.449884,99.8,10.4,0,0,0,0
run_03,1750713435.9520335,98.6,11.7,0,0,0,0
run_03,1750713436.4535537,99.9,13.0,0,49152,0,12
run_03,1750713436.955471,99.8,14.3,0,0,0,0
run_03,1750713437.457879,90.5,15.5,0,12288,0,2
run_03,1750713437.960302,53.7,16.6,0,0,0,0
run_03,1750713438.4623573,66.4,16.7,0,0,0,0
run_03,1750713438.9638722,99.9,16.7,0,0,0,0
run_03,1750713439.4653537,100.0,16.7,0,0,0,0
run_03,1750713439.9667099,100.0,16.7,0,0,0,0
run_03,1750713440.4680183,100.0,16.7,0,0,0,0
run_03,1750713440.969344,100.0,16.7,0,0,0,0
run_03,1750713441.4707923,94.1,16.7,0,0,0,0
run_03,1750713441.9720633,1.9,16.8,0,0,0,0
run_03,1750713442.4743838,30.4,16.8,0,12288,0,2
run_03,1750713442.9767003,15.5,16.8,0,0,0,0
run_03,1750713443.4792361,20.6,16.8,0,0,0,0
run_03,1750713443.9815347,58.1,16.8,0,0,0,0
run_03,1750713444.48391,94.5,16.9,0,0,0,0
run_03,1750713444.9856822,100.0,16.8,0,0,0,0
run_03,1750713445.4875536,100.0,16.8,0,0,0,0
run_03,1750713445.9890654,100.0,16.8,0,0,0,0
run_03,1750713446.490592,100.0,16.8,0,0,0,0
run_03,1750713446.9921007,100.0,16.8,0,1183744,0,10
run_03,1750713447.4936156,100.0,16.8,0,36204544,0,346
run_03,1750713447.995029,100.0,16.8,0,0,0,0
run_03,1750713448.496611,100.0,16.8,0,0,0,0
run_03,1750713448.9985719,100.0,16.8,0,0,0,0
run_03,1750713449.5016005,100.0,16.8,0,0,0,0
run_03,1750713450.0031369,100.0,16.8,0,0,0,0
run_03,1750713450.504652,100.0,16.8,0,0,0,0
run_03,1750713451.0062578,100.0,16.8,0,0,0,0
run_03,1750713451.5077772,100.0,16.8,0,0,0,0
run_03,1750713452.0093179,100.0,16.8,0,2285568,0,19
run_03,1750713452.510819,100.0,16.8,0,27422720,0,282
run_03,1750713453.0125575,100.0,16.8,4096,165044224,1,1600
run_03,1750713453.5146685,99.9,16.8,4096,159895552,1,1607
run_03,1750713454.0161998,100.0,16.8,0,7421952,0,72
run_03,1750713454.5180898,100.0,16.8,0,0,0,0
run_03,1750713455.019601,100.0,16.8,0,1961984,0,19
run_03,1750713455.5214841,100.0,16.8,0,0,0,0
run_03,1750713456.0230339,100.0,16.8,0,0,0,0
run_03,1750713456.5247846,100.0,16.8,0,0,0,0
run_03,1750713457.026602,100.0,16.8,0,0,0,0
run_03,1750713457.5280752,100.0,16.8,0,0,0,0
run_03,1750713458.029511,100.0,16.8,0,0,0,0
run_03,1750713458.530816,100.0,16.8,0,0,0,0
run_03,1750713459.0321853,100.0,16.8,0,0,0,0
run_03,1750713459.5334625,100.0,16.8,0,0,0,0
run_03,1750713460.0349572,100.0,16.8,0,2015232,0,17
run_03,1750713460.5365767,100.0,16.8,0,0,0,0
run_03,1750713461.0381444,100.0,16.8,0,0,0,0
run_03,1750713461.539683,100.0,16.8,0,0,0,0
run_03,1750713462.041198,100.0,16.8,0,0,0,0
run_03,1750713462.54269,100.0,16.8,0,0,0,0
run_03,1750713463.0442646,100.0,16.8,0,0,0,0
run_03,1750713463.5458767,100.0,16.8,0,0,0,0
run_03,1750713464.0473416,100.0,16.8,0,0,0,0
run_03,1750713464.5488703,100.0,16.8,0,0,0,0
run_03,1750713465.050463,100.0,16.8,0,2043904,0,17
run_03,1750713465.55214,100.0,16.8,0,0,0,0
run_03,1750713466.053544,100.0,16.8,0,0,0,0
run_03,1750713466.55488,100.0,16.8,0,0,0,0
