,cpu_percent,cpu_percent,memory_percent,memory_percent,disk_io_read_bytes,disk_io_write_bytes
,mean,max,mean,max,sum,sum
run_id,,,,,,
run_01,71.78,100.0,12.85,17.1,1978368,2318934016
run_02,65.94,100.0,12.03,16.8,8192,352153600
run_03,69.02,100.0,12.91,16.9,8192,409358336
run_04,66.22,100.0,12.28,16.9,28672,1049571328
run_05,72.72,100.0,13.38,16.8,4096,415657984
run_06,69.58,100.0,12.95,16.8,8192,372862976
run_07,69.72,100.0,12.86,16.8,8192,339968000
run_08,70.97,100.0,13.3,16.9,8192,381591552
run_09,70.46,100.0,12.89,16.9,8192,312864768
run_10,69.21,100.0,12.87,16.9,4096,279945216
