t_ms,neuron_id,field,value
0,0,Vm_mV,-60.0
0,1,Vm_mV,-60.0
0,2,Vm_mV,-60.0
0,3,Vm_mV,-60.0
0,4,Vm_mV,-60.0
0,5,Vm_mV,-60.0
0,6,Vm_mV,-60.0
0,7,Vm_mV,-60.0
0,8,Vm_mV,-60.0
0,9,Vm_mV,-60.0
0,10,Vm_mV,-60.0
0,11,Vm_mV,-60.0
0,12,Vm_mV,-60.0
0,13,Vm_mV,-60.0
0,14,Vm_mV,-60.0
0,15,Vm_mV,-60.0
0,16,Vm_mV,-60.0
0,17,Vm_mV,-60.0
0,18,Vm_mV,-60.0
0,19,Vm_mV,-60.0
0,20,Vm_mV,-60.0
0,21,Vm_mV,-60.0
0,22,Vm_mV,-60.0
0,23,Vm_mV,-60.0
0,24,Vm_mV,-60.0
0,25,Vm_mV,-60.0
0,26,Vm_mV,-60.0
0,27,Vm_mV,-60.0
0,28,Vm_mV,-60.0
0,29,Vm_mV,-60.0
0,30,Vm_mV,-60.0
0,31,Vm_mV,-60.0
0,32,Vm_mV,-60.0
0,33,Vm_mV,-60.0
0,34,Vm_mV,-60.0
1,0,Vm_mV,-60.0
1,1,Vm_mV,-60.0
1,2,Vm_mV,-60.0
1,3,Vm_mV,-60.0
1,4,Vm_mV,-60.0
1,5,Vm_mV,-60.0
1,6,Vm_mV,-60.0
1,7,Vm_mV,-60.0
1,8,Vm_mV,-60.0
1,9,Vm_mV,-60.0
1,10,Vm_mV,-60.0
1,11,Vm_mV,-60.0
1,12,Vm_mV,-60.0
1,13,Vm_mV,-60.0
1,14,Vm_mV,-60.0
1,15,Vm_mV,-60.0
1,16,Vm_mV,-60.0
1,17,Vm_mV,-60.0
1,18,Vm_mV,-60.0
1,19,Vm_mV,-60.0
1,20,Vm_mV,-60.0
1,21,Vm_mV,-60.0
1,22,Vm_mV,-60.0
1,23,Vm_mV,-60.0
1,24,Vm_mV,-60.0
1,25,Vm_mV,-60.0
1,26,Vm_mV,-60.0
1,27,Vm_mV,-60.0
1,28,Vm_mV,-60.0
1,29,Vm_mV,-60.0
1,30,Vm_mV,-60.0
1,31,Vm_mV,-60.0
1,32,Vm_mV,-60.0
1,33,Vm_mV,-60.0
1,34,Vm_mV,-60.0
2,0,Vm_mV,-60.0
2,1,Vm_mV,-60.0
2,2,Vm_mV,-60.0
2,3,Vm_mV,-60.0
2,4,Vm_mV,-60.0
2,5,Vm_mV,-60.0
2,6,Vm_mV,-60.0
2,7,Vm_mV,-60.0
2,8,Vm_mV,-60.0
2,9,Vm_mV,-60.0
2,10,Vm_mV,-60.0
2,11,Vm_mV,-60.0
2,12,Vm_mV,-60.0
2,13,Vm_mV,-60.0
2,14,Vm_mV,-60.0
2,15,Vm_mV,-60.0
2,16,Vm_mV,-60.0
2,17,Vm_mV,-60.0
2,18,Vm_mV,-60.0
2,19,Vm_mV,-60.0
2,20,Vm_mV,-60.0
2,21,Vm_mV,-60.0
2,22,Vm_mV,-60.0
2,23,Vm_mV,-60.0
2,24,Vm_mV,-60.0
2,25,Vm_mV,-60.0
2,26,Vm_mV,-60.0
2,27,Vm_mV,-60.0
2,28,Vm_mV,-60.0
2,29,Vm_mV,-60.0
2,30,Vm_mV,-60.0
2,31,Vm_mV,-60.0
2,32,Vm_mV,-60.0
2,33,Vm_mV,-60.0
2,34,Vm_mV,-60.0
3,0,Vm_mV,-60.0
3,1,Vm_mV,-60.0
3,2,Vm_mV,-60.0
3,3,Vm_mV,-60.0
3,4,Vm_mV,-60.0
3,5,Vm_mV,-60.0
3,6,Vm_mV,-60.0
3,7,Vm_mV,-60.0
3,8,Vm_mV,-60.0
3,9,Vm_mV,-60.0
